time,localTime,batteryPercent,charging,connected,bytesSent,bytesReceived,runningProc,memUsageMB,hungriestProc,hungryProcMem
1699912830,12:00 AM,54,No,Yes,164035905,1689296293,91,7824.64,msedge.exe,1842.28
1699912891,12:01 AM,53,No,Yes,164167617,1695589996,91,7823.91,msedge.exe,1850.22
1699912952,12:02 AM,53,No,Yes,164258051,1699967187,91,7813.61,msedge.exe,1859.74
1699913012,12:03 AM,53,No,Yes,164379661,1705980844,91,7793.36,msedge.exe,1839.56
1699913073,12:04 AM,52,No,Yes,164497468,1711792589,91,7806.22,msedge.exe,1853.31
1699913134,12:05 AM,52,No,Yes,164605514,1717073405,91,7819.85,msedge.exe,1862.19
1699913194,12:06 AM,51,No,Yes,164688439,1721059999,91,7837.47,msedge.exe,1866.29
1699913255,12:07 AM,51,No,Yes,164828369,1727808702,91,7847.71,msedge.exe,1881.71
1699913315,12:08 AM,50,No,Yes,164972348,1734976207,91,7862.2,msedge.exe,1896.57
1699913376,12:09 AM,50,No,Yes,165108750,1741912668,91,7845.91,msedge.exe,1880.62
1699913437,12:10 AM,50,No,Yes,165190569,1745818583,91,7848.64,msedge.exe,1882.64
1699913497,12:11 AM,49,No,Yes,165287697,1749782777,91,7940.22,msedge.exe,1887.29
1699913558,12:12 AM,49,No,Yes,165348688,1753869618,91,7861.27,msedge.exe,1893.66
1699913619,12:13 AM,48,No,Yes,165450600,1758620688,91,7871.27,msedge.exe,1906.1
1699913679,12:14 AM,48,No,Yes,165552858,1763182392,91,7882.81,msedge.exe,1916.14
1699913740,12:15 AM,47,No,Yes,165715169,1771013986,91,7877.73,msedge.exe,1934.59
1699913801,12:16 AM,47,No,Yes,165818844,1775846538,91,7822.68,msedge.exe,1902.09
1699913861,12:17 AM,47,No,Yes,165961337,1783024423,91,7835.46,msedge.exe,1915.56
1699913922,12:18 AM,46,No,Yes,166042607,1786789503,91,7846.34,msedge.exe,1924.09
1699913982,12:19 AM,46,No,Yes,166132020,1790955711,91,7860.85,msedge.exe,1930.65
1699914043,12:20 AM,45,No,Yes,166192756,1792069339,91,8093.75,msedge.exe,1933.07
