time,localTime,batteryPercent,charging,connected,bytesSent,bytesReceived,runningProc,memUsageMB,hungriestProc,hungryProcMem
1700121695,10:01 AM,80,No,Yes,3533255,147032864,99,8064.06,Code.exe,1591.16
1700121758,10:02 AM,79,No,Yes,5050398,244556707,99,8081.63,Code.exe,1617.17
1700121818,10:03 AM,78,No,Yes,6694961,361670532,96,8114.7,Code.exe,1804.26
1700121879,10:04 AM,77,No,Yes,8325204,481219621,93,7888.96,Code.exe,1708.3
1700121940,10:05 AM,77,No,Yes,9107723,535702006,92,8004.99,Code.exe,1860.77
1700122001,10:06 AM,76,No,Yes,9193169,536939494,94,8279.76,Code.exe,2090.0
1700122065,10:07 AM,75,No,Yes,9274515,537004318,94,8610.5,Code.exe,2461.61
1700122126,10:08 AM,75,No,Yes,9410362,537198158,94,9305.59,Code.exe,2329.15
1700122187,10:09 AM,74,No,Yes,9724665,538692538,95,9519.18,Code.exe,2331.41
1700122248,10:10 AM,73,No,Yes,10054486,540649629,93,9395.78,Code.exe,2274.5
1700122309,10:11 AM,72,No,Yes,10082437,540714187,94,9600.99,Code.exe,2322.54
1700122370,10:12 AM,72,No,Yes,10106855,540746992,93,9257.78,Code.exe,2288.06
1700122431,10:13 AM,71,No,Yes,10143617,540939857,93,9377.73,Code.exe,2291.14
1700122492,10:14 AM,70,No,Yes,10672435,544214701,94,9640.52,Code.exe,2291.48
1700122553,10:15 AM,70,No,Yes,10798620,545299694,94,10029.22,Code.exe,2772.5
1700122615,10:16 AM,69,No,Yes,11014373,548522242,94,9909.02,Code.exe,2504.93
1700122676,10:17 AM,69,No,Yes,11033476,548565024,94,9706.88,Code.exe,2296.61
1700122737,10:18 AM,68,No,Yes,11083564,548678363,95,9779.04,Code.exe,2352.6
1700122798,10:19 AM,67,No,Yes,11191239,549570986,93,9724.02,Code.exe,2318.47
1700122858,10:20 AM,67,No,Yes,11232097,549849028,93,9689.45,Code.exe,2357.8
1700122920,10:22 AM,66,No,Yes,11266619,549948546,93,9740.1,Code.exe,2353.95
1700122980,10:23 AM,66,No,Yes,11384788,551261158,93,9738.23,Code.exe,2330.62
1700123042,10:24 AM,65,No,Yes,11434014,551403744,93,9711.35,Code.exe,2399.36
1700123103,10:25 AM,64,No,Yes,11471970,551493203,93,9598.39,Code.exe,2302.17
1700123164,10:26 AM,64,No,Yes,11488571,551542493,93,9638.66,Code.exe,2333.96
1700123225,10:27 AM,63,No,Yes,11542157,551642163,93,9620.1,Code.exe,2311.94
1700123286,10:28 AM,63,No,Yes,11559962,551679053,93,9728.77,Code.exe,2292.65
1700123347,10:29 AM,62,No,Yes,11639225,551895451,93,9695.16,Code.exe,2301.55
1700123408,10:30 AM,62,No,Yes,11774277,553707839,93,9844.52,Code.exe,2371.44
1700123470,10:31 AM,61,No,Yes,11814849,553769312,93,9960.01,Code.exe,2586.23
1700123531,10:32 AM,61,No,Yes,11835846,553811957,93,9662.01,Code.exe,2337.76
